model,generator,accuracy,precision,recall,f1,roc_auc
LogisticRegression,SD21,0.7041666666666667,0.7024793388429752,0.7083333333333334,0.7053941908713693,0.7975
SVM_RBF,SD21,0.7041666666666667,0.6929133858267716,0.7333333333333333,0.7125506072874493,0.788888888888889
RandomForest,SD21,0.7625,0.7368421052631579,0.8166666666666667,0.7747035573122529,0.8494444444444444
LightGBM,SD21,0.7791666666666667,0.7637795275590551,0.8083333333333333,0.7854251012145749,0.8805555555555555
LogisticRegression,SDXL,0.7958333333333333,0.7448275862068966,0.9,0.8150943396226416,0.8509027777777778
SVM_RBF,SDXL,0.7541666666666667,0.7293233082706767,0.8083333333333333,0.766798418972332,0.8438194444444445
RandomForest,SDXL,0.8833333333333333,0.8432835820895522,0.9416666666666667,0.889763779527559,0.9590277777777778
LightGBM,SDXL,0.9041666666666667,0.8646616541353384,0.9583333333333334,0.9090909090909091,0.9695833333333334
LogisticRegression,SD3,0.8666666666666667,0.860655737704918,0.875,0.8677685950413223,0.9554166666666667
SVM_RBF,SD3,0.775,0.7538461538461538,0.8166666666666667,0.784,0.8158333333333333
RandomForest,SD3,0.8666666666666667,0.84375,0.9,0.8709677419354839,0.9389583333333333
LightGBM,SD3,0.9208333333333333,0.9105691056910569,0.9333333333333333,0.9218106995884774,0.9604166666666667
LogisticRegression,DALLE3,0.7625,0.7647058823529411,0.7583333333333333,0.7615062761506276,0.8590277777777777
SVM_RBF,DALLE3,0.8041666666666667,0.7829457364341085,0.8416666666666667,0.8112449799196787,0.8874305555555555
RandomForest,DALLE3,0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.9529166666666666
LightGBM,DALLE3,0.9083333333333333,0.9016393442622951,0.9166666666666666,0.9090909090909091,0.9784027777777777
LogisticRegression,Midjourney,0.6541666666666667,0.6528925619834711,0.6583333333333333,0.6556016597510373,0.7557638888888889
SVM_RBF,Midjourney,0.6666666666666666,0.6515151515151515,0.7166666666666667,0.6825396825396826,0.6982638888888889
RandomForest,Midjourney,0.7791666666666667,0.7815126050420168,0.775,0.7782426778242678,0.8552083333333333
LightGBM,Midjourney,0.8083333333333333,0.7983870967741935,0.825,0.8114754098360656,0.8866666666666667
